lane,source,destination,bytes,status
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\CLAIMS\MDA-001-story-introduction.claim-audit.csv,6613,
html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\02_HTML_OUTPUTS\MDA-001-story-introduction.paper-grade.html,9814,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.html,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\HTML\MDA-001-story-introduction.paper-grade.html,9814,
final/Unsorted/JSON,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\JSON\MDA-001-story-introduction.paper-grade.json,17596,
final/Unsorted/LOSSLESS_SUMMARY,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\LOSSLESS_SUMMARY\MDA-001-story-introduction.lossless-summary.md,15057,
final/Unsorted/HTML,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\HTML\MDA-001-story-introduction.paper-grade-dashboard.html,12609,rendered
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.json,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\EXCEL\MDA-001-story-introduction.paper-grade.review.xlsx,14096,rendered
final/Unsorted/MARKDOWN,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.md,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\MARKDOWN\MDA-001-story-introduction.paper-grade.md,5307,
final/Unsorted/EXCEL,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-001-story-introduction.paper-grade.xlsx,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-001-story-introduction\EXCEL\MDA-001-story-introduction.paper-grade.xlsx,9295,
final/Unsorted/CLAIMS,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\01_OUTBOX_REPORTS\MDA-002-samuel-1900.claim-audit.csv,\\dlowenas\brain\apps\paper-intelligence-suite-python\OUTPUT\mda_math_translation_full61_20260530_053137\03_FINAL_READY\Unsorted\MDA-002-samuel-1900\CLAIMS\MDA-002-samuel-1900.claim-audit.csv,1718,
