index,status,title,url,final_url,pdf_file,doc_file,html_file,error,candidates_tried
1,saved_html_only,"Plantinga, Kant, and Cognitive Reliability by Peter Zuk",https://digitalcommons.pepperdine.edu/globaltides/vol5/iss1/2,https://digitalcommons.pepperdine.edu/globaltides/vol5/iss1/2/,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\01_Plantinga_Kant_and_Cognitive_Reliability_by_Peter_Zuk.html,,https://digitalcommons.pepperdine.edu/cgi/viewcontent.cgi?article=1010&context=globaltides | https://digitalcommons.pepperdine.edu/globaltides/topdownloads.html
2,saved_html_only,(PDF) How to Be an Alethically Rational Naturalist,https://academia.edu/8452185/How_to_Be_an_Alethically_Rational_Naturalist,https://www.academia.edu/8452185/How_to_Be_an_Alethically_Rational_Naturalist,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\02_PDF_How_to_Be_an_Alethically_Rational_Naturalist.html,,
3,downloaded_word_document,On Alvin Plantinga’s Evolutionary Argument against Naturalism,https://trace.tennessee.edu/entities/publication/ebaf4e99-a38f-4b58-bcac-ad4b96d96f70,https://trace.tennessee.edu/entities/publication/ebaf4e99-a38f-4b58-bcac-ad4b96d96f70,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\03_On_Alvin_Plantinga_s_Evolutionary_Argument_against_Naturalism.doc,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\03_On_Alvin_Plantinga_s_Evolutionary_Argument_against_Naturalism.html,,https://trace.tennessee.edu/bitstreams/03db5011-621b-4d61-aa93-6e85514203ea/download
4,saved_html_only,Are Evolutionary Debunking Arguments Self-Debunking? | Philosophia | Springer Nature Link,https://link.springer.com/article/10.1007/s11406-016-9780-1,https://link.springer.com/article/10.1007/s11406-016-9780-1?error=cookies_not_supported&code=42a8233b-6dbb-4c9a-9b42-4dd18a34bb53,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\04_Are_Evolutionary_Debunking_Arguments_Self-Debunking_Philosophia_Springer_Nature_Link.html,,https://link.springer.com/content/pdf/10.1007/s11406-016-9780-1.pdf
5,saved_html_only,Plantinga’s Selective Theism: The Circular Reasoning at the Heart of Where the Conflict Really Lies » Internet Infidels,https://infidels.org/library/modern/plantingas-selective-theism,https://infidels.org/library/modern/plantingas-selective-theism/,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\05_Plantinga_s_Selective_Theism_The_Circular_Reasoning_at_the_Heart_of_Where_the_Conflict_Rea.html,,
6,saved_html_only,"Yingjin Xu, The troublesome explanandum in Plantinga’s argument against naturalism - PhilPapers",https://philpapers.org/rec/XUTTE,https://philpapers.org/rec/XUTTE,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\06_Yingjin_Xu_The_troublesome_explanandum_in_Plantinga_s_argument_against_naturalism_-_PhilPa.html,,https://philpapers.org/go.pl?id=XUTTE&proxyId=&u=https%3A%2F%2Fdx.doi.org%2F10.1007%2Fs11153-010-9228-7 | https://philpapers.org/rec/XUTTE
7,saved_html_only,Plantinga's Case Against Naturalistic Epistemology | Philosophy of Science | Cambridge Core,https://cambridge.org/core/journals/philosophy-of-science/article/abs/plantingas-case-against-naturalistic-epistemology/EF357C29F1E999DF7A677725677E2506,https://www.cambridge.org:443/core/journals/philosophy-of-science/article/abs/plantingas-case-against-naturalistic-epistemology/EF357C29F1E999DF7A677725677E2506,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\07_Plantinga_s_Case_Against_Naturalistic_Epistemology_Philosophy_of_Science_Cambridge_Core.html,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/EF357C29F1E999DF7A677725677E2506/S0031824800064187a.pdf/div-class-title-plantinga-s-case-against-naturalistic-epistemology-div.pdf
8,saved_html_only,A user’s guide to the evolutionary argument against naturalism | Philosophical Studies | Springer Nature Link,https://link.springer.com/article/10.1007/s11098-007-9155-3,https://link.springer.com/article/10.1007/s11098-007-9155-3?error=cookies_not_supported&code=127f5954-6d84-4cdd-b25b-0f98543e60ab,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\08_A_user_s_guide_to_the_evolutionary_argument_against_naturalism_Philosophical_Studies_Sprin.html,,https://link.springer.com/content/pdf/10.1007/s11098-007-9155-3.pdf
9,saved_html_only,What’s wrong with the evolutionary argument against naturalism? | International Journal for Philosophy of Religion | Springer Nature Link,https://link.springer.com/article/10.1007/s11153-010-9272-3,https://link.springer.com/article/10.1007/s11153-010-9272-3?error=cookies_not_supported&code=ee5f5b48-f8d3-4571-9b4d-dc83eaca76d6,,,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\html_pages\09_What_s_wrong_with_the_evolutionary_argument_against_naturalism_International_Journal_for_P.html,,https://link.springer.com/content/pdf/10.1007/s11153-010-9272-3.pdf
10,downloaded_pdf_direct,Analysis of Plantinga's Evolutionary Argument Against Naturalism (EAAN) in a 2020 Springer Nature Publication,https://philarchive.org/archive/HENDTE,https://philarchive.org/archive/HENDTE,X:\webset-articles_self_refuting_plantinga_s_evolutionary_argument\downloads\10_Analysis_of_Plantinga_s_Evolutionary_Argument_Against_Naturalism_EAAN_in_a_2020_Springer_N.pdf,,,,
